listing_id,product_name,category,seller_id,price,stock_quantity,listing_date
L027,Mechanical Keyboard,ELECTRONICS,TechGuruTom,150.0,120,2024-02-01
L028,Velvet Cushion Covers (Set of 2),HOMEWARE,CozyHome,28.99,180,2024-02-20
L029,Aviator Sunglasses,FASHION,StyleBySophie,75.0,200,2024-03-05
L030,Organic Trail Mix,GROCERIES,TheDailyGrind,12.99,700,2024-03-15
L031,Designing Data-Intensive Apps,BOOKS,InfluencerX,65.0,90,2024-04-01
L032,Portable Bluetooth Speaker,ELECTRONICS,TechGuruTom,55.0,250,2024-04-20
L033,Bamboo Cutting Board,HOMEWARE,CozyHome,22.5,300,2024-05-05
L034,Silk Head Scarf,FASHION,StyleBySophie,29.99,280,2024-05-15
L035,Fair-Trade Coffee Pods,GROCERIES,TheDailyGrind,19.99,600,2024-06-01
L036,The Phoenix Project,BOOKS,InfluencerX,25.0,300,2024-06-20
L037,Smart WiFi Plug (2-pack),ELECTRONICS,TechGuruTom,19.99,500,2023-01-10
L038,Ergonomic Office Mousepad,ELECTRONICS,GamerGear,24.99,200,2023-01-20
L039,Luxe Faux Fur Blanket,HOMEWARE,CozyHome,89.0,70,2023-02-05
L040,Bohemian Maxi Dress,FASHION,StyleBySophie,79.5,150,2023-02-25
L041,Organic Coconut Water (6-pack),GROCERIES,TheDailyGrind,14.99,450,2023-03-10
L042,The Pragmatic Programmer,BOOKS,InfluencerX,44.5,110,2023-03-25
L043,HD Webcam with Ring Light,ELECTRONICS,GamerGear,69.99,130,2023-04-12
L044,Decorative Storage Baskets,HOMEWARE,CozyHome,45.0,100,2023-04-28
L045,Statement Hoop Earrings,FASHION,StyleBySophie,22.0,400,2023-05-10
L046,Organic Almond Butter,GROCERIES,TheDailyGrind,13.5,350,2023-05-25
L047,Clean Code,BOOKS,InfluencerX,38.0,280,2023-06-10
L048,RGB Gaming Keyboard,ELECTRONICS,GamerGear,99.0,90,2023-06-25
L049,Geometric Bookshelf,HOMEWARE,CozyHome,129.0,60,2023-07-12
L050,Layered Gold Necklace,FASHION,StyleBySophie,35.0,320,2023-07-28
L051,Spicy Chili Oil,GROCERIES,TheDailyGrind,9.99,750,2023-08-10
L052,Mythical Man-Month,BOOKS,InfluencerX,30.0,220,2023-08-25
L053,Curved Gaming Monitor 27,ELECTRONICS,GamerGear,349.0,50,2023-09-12
L054,Linen Duvet Cover Set,HOMEWARE,CozyHome,159.0,80,2023-09-28
L055,Suede Ankle Boots,FASHION,StyleBySophie,95.0,160,2023-10-10
L056,Aged Balsamic Vinegar,GROCERIES,TheDailyGrind,25.0,200,2023-10-25
L057,Fundamentals of Data Engineering,BOOKS,InfluencerX,62.0,70,2023-11-10
L058,High-Fidelity Headset,ELECTRONICS,GamerGear,179.99,110,2023-11-25
L059,Marble Coaster Set,HOMEWARE,CozyHome,19.99,400,2023-12-12
L060,Cashmere Blend Sweater,FASHION,StyleBySophie,150.0,100,2023-12-28
L061,Artisanal Sourdough Bread,GROCERIES,TheDailyGrind,7.5,150,2024-01-10
L062,The Goal,BOOKS,InfluencerX,22.0,350,2024-01-25
L063,Wireless Charging Pad,ELECTRONICS,TechGuruTom,33.0,350,2024-02-10
L064,Microfiber Sheet Set,HOMEWARE,CozyHome,59.99,200,2024-02-25
L065,Wide-Leg Linen Pants,FASHION,StyleBySophie,55.0,250,2024-03-10
L066,Keto-Friendly Snack Bars,GROCERIES,TheDailyGrind,24.99,500,2024-03-25
L067,Cracking the Coding Interview,BOOKS,InfluencerX,35.5,190,2024-04-10
L068,Smart Thermostat,ELECTRONICS,TechGuruTom,199.0,60,2024-04-25
L069,Gallery Wall Frame Set,HOMEWARE,CozyHome,79.0,90,2024-05-10
L070,Satin Midi Skirt,FASHION,StyleBySophie,49.99,180,2024-05-25
L071,Kombucha Starter Kit,GROCERIES,TheDailyGrind,40.0,100,2024-06-10
L072,System Design Interview,BOOKS,InfluencerX,48.0,140,2024-06-25
L073,Video Doorbell,ELECTRONICS,TechGuruTom,179.0,85,2023-03-01
L074,Gaming Chair with Lumbar Support,ELECTRONICS,GamerGear,299.0,40,2023-03-15
L075,Ceramic Diffuser,HOMEWARE,CozyHome,49.99,120,2023-04-01
L076,Pleated Tennis Skirt,FASHION,StyleBySophie,39.0,280,2023-04-15
L077,Manuka Honey,GROCERIES,TheDailyGrind,45.0,100,2023-05-01
L078,Structure and Interpretation of Comp Progs,BOOKS,InfluencerX,75.0,50,2023-05-15
L079,Condenser Microphone,ELECTRONICS,GamerGear,129.99,70,2023-06-01
L080,Plush Bath Towel Set,HOMEWARE,CozyHome,65.0,180,2023-06-15
L081,Trench Coat,FASHION,StyleBySophie,180.0,80,2023-07-01
L082,Matcha Green Tea Powder,GROCERIES,TheDailyGrind,28.0,250,2023-07-15
L083,Domain-Driven Design,BOOKS,InfluencerX,55.0,160,2023-08-01
L084,External SSD 1TB,ELECTRONICS,GamerGear,99.99,200,2023-08-15
L085,Weighted Blanket,HOMEWARE,CozyHome,110.0,100,2023-09-01
L086,Faux Leather Leggings,FASHION,StyleBySophie,45.0,300,2023-09-15
L087,Organic Maple Syrup,GROCERIES,TheDailyGrind,16.5,300,2023-10-01
L088,Refactoring by Martin Fowler,BOOKS,InfluencerX,50.0,120,2023-10-15
L089,VR Headset,ELECTRONICS,GamerGear,399.0,30,2023-11-01
L090,Acacia Wood Salad Bowl,HOMEWARE,CozyHome,38.0,150,2023-11-15
L091,Oversized Blazer,FASHION,StyleBySophie,85.0,140,2023-12-01
L092,Gourmet Sea Salt,GROCERIES,TheDailyGrind,11.0,400,2023-12-15
L093,The Manager's Path,BOOKS,InfluencerX,28.5,250,2024-01-01
L094,Smart Light Bulbs (4-pack),ELECTRONICS,TechGuruTom,39.99,600,2024-01-15
L095,Electric Kettle,HOMEWARE,CozyHome,42.0,220,2024-02-01
L096,Satin Blouse,FASHION,StyleBySophie,42.5,190,2024-02-15
L097,Organic Turmeric Powder,GROCERIES,TheDailyGrind,9.5,800,2024-03-01
L098,The Unicorn Project,BOOKS,InfluencerX,26.0,320,2024-03-15
L099,Laptop Stand,ELECTRONICS,TechGuruTom,28.0,450,2024-04-01
L100,French Press Coffee Maker,HOMEWARE,CozyHome,34.99,180,2024-04-15
