listing_id,product_name,category,seller_id,price,stock_quantity,listing_date
L091,Oversized Blazer,Fashion,StyleBySophie,"$85.00",140,Dec 01, 2023
L092,Gourmet Sea Salt,Groceries,TheDailyGrind,"$11.00",400,2023-12-15
L093,The Manager's Path,Books,InfluencerX,"$28.50",250,2024-01-01
L094,Smart Light Bulbs (4-pack),Electronics,TechGuruTom,"$39.99",600,2024-01-15
L095,Electric Kettle,Homeware,CozyHome,"$42.00",220,02/01/2024
L096,Satin Blouse,Fashion,StyleBySophie,"$42.50",190,2024-02-15
L097,Organic Turmeric Powder,Groceries,TheDailyGrind,"$9.50",800,Mar 01, 2024
L098,The Unicorn Project,Books,InfluencerX,"$26.00",320,2024-03-15
L099,Laptop Stand,Electronics,TechGuruTom,"$28.00",450,04/01/2024
L100,French Press Coffee Maker,Homeware,CozyHome,"$34.99",180,2024-04-15
